Bug列表,是否修复,,,,
AI对话框输入的问题发送后，将对话框关闭再次打开，上次的问题还存在于提问框中,是,,,,
大模型有个池子，默认顺序开展任务流程,是,,,,
英文数据中有字段名：system serial number:xxxxxx 自动使用的是Serial N（其他英文文件也大量出现）,是,,,,
默认独立窗口预览，并且打开第一个独立窗口后在第二屏中不自动关闭，切换另外的训练数据，在该窗口中刷新新数据的原文预览,是,,,,
消息中心进入默认显示未读,是,,,,
任务中心 - 删除任务，【算子训练】页面该任务下的待确认文件应自动删除，【MB 管理】统计值应自动清空,是,,,,
算子训练 - 独立窗口预览源文件，拖拽独立窗口到第 2 屏幕，切换到算子训练其他的文件，独立窗口内容不会更新 (客户说的),是,,,,
算子中心 - 同名算子应限制不允许新增,是,,,,
算子训练，在算子训练页面，这时有新的数据提取成功，左侧栏统计值 + 1，右侧栏没变化（点击左侧算子训练，右侧也不刷新）,是,,,,
任务中心 - 历史提取 - 通过【数据源】下拉查询，选择手动上传的数据源，返回结果和查询条件不一致（建议手动上传的时间就用新建任务的时间）,是,,,,
任务中心 - 正在提取，根据列表上方的【文件类型】下拉查询，下拉选项聚类了所有任务的正在提取文件（应该只聚类展示当前任务）,是,,,,
任务中心 - 正在提取 -【状态】列的等待时间建议换算下,是,,,,
MB 管理 & 算子中心 - 历史提取 - 点击【等待确认时长】列名排序，结果不正确,是,,,,
算子中心 - 数据记录，输入超长备注，保存报错,是,,,,
算子中心 - 数据记录，列表中的【值】这一列建议取消显示，跟其他列显示重复了，且不美观,是,,,,
任务中心，添加 SMB 监控数据源，测试连接，连接不通时，错误提示语超出展示区域,是,,,,
任务中心，添加 SMB 监控数据源，监控路径下方的提示语不正确（已经去掉共享名了，还提示共享名拼接的路径）,是,,,,
系统设置 - 系统基础信息 - 系统名称修改前面多了 1.,是,,,,
任务中心 - 历史提取 - 人工复审 - 选择【独立窗口】预览，点击提取的字段表格，左侧独立窗口被遮挡，无法看到源文件定位高亮展示,是,,,,
算子中心 - 右侧编辑算子备注，输入超长字符，页面报错,是,,,,
任务中心 - 手动上传文件，文件名超长上传失败【提示语不正确】，且上传失败，不应新增任务记录,是,,,,
系统设置，数据源监控目录轮询时间需要做成可配置的（当前 1m 扫一次）,是,,,,
任务中心 - 数据源与明细统计值不正确,是,,,,
算子中心 - 在任务中心删除算子关联的所有任务后，在算子中心仍不能删除方案模板,是,,,,
算子训练 - 源 html 中数据缺失的字段提取不正确，数据确认入库报错,是,,,,
任务中心-新增sftp监控任务，文件策略配置为删除，hermes超时处理失败，sftp监控目录下的文件全部被删除了，应该移动到failed目录，在算子训练中点击确认才触发删除操作,是,,,,
